filename,transcription,ghot_score,acads_lite_score,classification
Task44.m4a,"['saare', 'course', 'ipc', 'baithke,', 'poora', 'mid', 'sem', 'ka,', 'compre', 'tut', 'test', 'syllabus', 'pad', 'liya', 'hai.', 'ab', 'grade', 'jaayega,', 'a', 'ya', 'a-']",12,0,GHOT
Task50.m4a,"['ipc', 'on', 'library', 'movie', 'dekhta', 'hai.', 'padhai', 'karta.', 'acads', 'light', 'le', 'rkha', 'isne.', 'course', 'av', 'minus', 'chal', 'rha', 'hai.']",4,5,ACADS LITE
Task41.m4a,"['first', 'year', 'midsem,', 'compre,', 'tute', 'test,', 'light', 'baitha', 'tha', 'kyunki', 'election', 'ladne', 'the', 'press', 'gensec', 'ke.', 'ab', 'wo', 'gaya,', 'pata', 'kya', 'karega.']",4,5,ACADS LITE
Task42.m4a,"['club', 'kaam', 'wajah', 'bilkul', 'padhai', 'upari', 'hai.', 'tute', 'test', 'jaaraya', 'hai.', 'aisa', 'chalta', 'cg', 'chuch', 'c', 'ya', 'c-', 'lagega.']",3,4,ACADS LITE
Task 47.m4a,"['oss', 'and', 'bosomfest', 'is', 'for', 'enjoying.', 'there', 'will', 'be', 'continuous', 'studies', 'and', 'cg', 'will', 'also', 'improve', 'later.', 'but', 'fest', 'will', 'not', 'come', 'back.']",1,1,ACADS LITE
Task49.m4a,"['in', 'tüt', 'test,', 'the', 'chat', 'copies', 'from', 'gpt.', 'if', 'you', 'keep', 'doing', 'this,', 'you', 'will', 'get', 'caught', 'cheating', 'and', 'the', 'accads', 'will', 'get', 'lightened', 'and', 'the', 'cg', 'will', 'be', 'low.']",2,5,ACADS LITE
Task45.m4a,"['gym', 'chalte', 'hai.', 'phir', 'uske', 'baad', 'looters', 'yaar', 'phir', 'pe', 'khaana', 'khaane', 'chalenge.', 'uske', 'baad', 'aake', 'slides', 'padleenge.', 'tuit', 'test', 'jayega.']",2,2,ACADS LITE
Task48.m4a,"['library', 'bilkul', 'padhai', 'karta,', 'sirf', 'baate', 'karta', 'tha', 'hai.', 'isliye', 'tude', 'test', 'marks', 'hai.', 'grade', 'ya', 'c', 'ya', 'c-', 'lakta', 'hai.']",2,5,ACADS LITE
Task46.m4a,"['dcc', 'yaar', 'phir', 'ready', 'chalke', 'khaana', 'khaate', 'hai.', 'padhai', 'honay', 'rahi', 'hai.', 'patani', 'tut', 'test', 'kya', 'hoga.', 'mera', 'acads', 'hora', 'hai.', 'cg', 'chudri', 'hai.']",3,1,GHOT
Task43.m4a,"['pura', 'din', 'controller', 'game', 'rahega', 'padhai', 'kaise', 'hogi?', 'saare', 'tude', 'test', 'chuch', 'jayenge.', 'c', 'ya', 'c-', 'jayega.']",1,7,ACADS LITE
